date,code,open,high,low,close,volume,name,score,limit_date,wash_date,wash_turnover_rate,wash_turnover_tier,wash_turnover_min,wash_turnover_max,wash_float_market_cap,confirm_return,confirm_high_return,volume_ratio,buy_price,next_date,next_high_return,next_close_return,next_low_return,next_open_return,label_3,limit_day_return,limit_day_open_return,limit_day_amount,limit_day_turnover_rate,limit_day_vol_ratio_5,limit_day_vol_ratio_10,limit_day_vol_ratio_20,limit_day_amp,is_yizi,market_filter_ok,market_return,market_ma,limit_pool_name,limit_pool_turnover_rate,limit_pool_float_market_cap,limit_pool_total_market_cap,limit_pool_amount,limit_pool_seal_amount,limit_pool_first_limit_time,limit_pool_last_limit_time,limit_pool_open_board_count,limit_pool_prev_limit_time,limit_pool_first_limit_time_tier,limit_pool_first_limit_time_tier_rank,limit_pool_seal_strength_pct,prev_limit_time
2026-05-08,603001,9.55,9.84,9.4,9.79,17197172.0,,6.1782807622118,2026-05-06,2026-05-07,6.675919532775879,lt_50e,5.0,20.0,3753172800.0,0.045940170940171,0.05128205128205132,1.5842636681947009,9.79,2026-05-11,0.0010214504596528506,-0.06026557711950964,-0.06332992849846775,-0.01736465781409602,False,0.09963547995139743,0.009720534629404698,,,1.2397516662704597,1.5365081891036863,1.8858470573349249,0.0929951690821258,False,True,0.015024559375902857,16.899,,,,,,,,,,,,,,
2026-05-08,001316,59.27,61.32,56.88,60.7,7676174.0,,3.450749575955408,2026-05-06,2026-05-07,9.485288619995117,50e_100e,4.0,15.0,6674159350.95,0.012172753043188322,0.022511255627813975,2.2334742716365756,60.7,2026-05-11,0.04728171334431619,0.027347611202635846,-0.017133443163097284,0.0006589785831960793,True,0.10000000000000009,0.050096339113680166,265350395.0,4.246876239776611,1.6547964370755057,1.6367502500186741,1.6688982587508425,0.057222222222222285,False,True,0.015024559375902857,16.899,,,,,,,,,,,,,,
2026-05-08,603063,50.58,52.42,49.5,51.5,35093205.0,,2.5901321057361333,2026-05-06,2026-05-07,9.68947696685791,100e_300e,3.0,10.0,23284150344.0,0.014778325123152802,0.03290640394088684,1.1122995934208528,51.5,2026-05-11,0.09999999999999987,0.09999999999999987,0.005825242718446644,0.005825242718446644,True,0.10004557885141296,0.005013673655423823,,,1.075824010573023,0.9732276502719862,0.9455002880162651,0.09904371584699456,False,True,0.015024559375902857,16.899,,,,,,,,,,,,,,
2026-05-11,605168,52.44,55.94,51.57,54.4,15656649.0,,5.856193818183766,2026-05-07,2026-05-08,9.35677433013916,100e_300e,3.0,10.0,10962483272.0,0.04615384615384621,0.07576923076923081,1.2408092027991453,54.4,2026-05-12,0.043933823529411775,0.006433823529411686,-0.014705882352941124,0.0,True,0.09995791245791241,0.011153198653198526,,,0.8387191963569757,1.150094956807877,1.7015269890335514,0.09603690501153284,False,True,0.017933390264731175,17.195,,,,,,,,,,,,,,
2026-05-11,002350,17.06,17.6,16.72,17.38,45423048.0,,5.495962828618978,2026-05-07,2026-05-08,10.796772956848145,50e_100e,4.0,15.0,8860186185.699999,0.04071856287425146,0.05389221556886237,1.4241065411938325,17.38,2026-05-12,-0.007479861910241636,-0.04257767548906777,-0.056962025316455556,-0.007479861910241636,False,0.09999999999999987,0.017931034482758568,,,1.263474439609357,1.4536232213759253,1.457441852676965,0.09171800136892538,False,True,0.017933390264731175,17.195,,,,,,,,,,,,,,
2026-05-11,600707,9.03,9.44,8.87,9.15,221760784.0,,4.437140744612805,2026-05-07,2026-05-08,5.946744918823242,gte_300e,1.5,8.0,31858507220.160004,0.03040540540540526,0.06306306306306286,1.3966002040722785,9.15,2026-05-12,0.07431693989071042,0.03825136612021862,-0.004371584699453646,0.017486338797814138,True,0.09975669099756668,0.024330900243308973,,,1.052795489655747,0.8951942403039702,1.1237441793167298,0.07491082045184294,False,True,0.017933390264731175,17.195,,,,,,,,,,,,,,
2026-05-11,002384,212.0,222.6,208.47,218.3,89441520.0,,4.301936927024365,2026-05-07,2026-05-08,6.458770751953125,gte_300e,1.5,8.0,293054549024.97,0.03268839585600092,0.05302994465206501,1.0330973414242735,218.3,2026-05-12,0.05359596885020612,0.0053137883646356965,-0.0219422812643153,0.02414109024278499,True,0.10001042318115494,-0.017979987492182548,,,0.9837783281096193,0.9199988039166189,0.9442998028099509,0.13600645855758864,False,True,0.017933390264731175,17.195,,,,,,,,,,,,,,
2026-05-11,002915,21.0,21.45,20.86,21.37,19302108.0,,4.093411273502834,2026-05-07,2026-05-08,10.16581916809082,50e_100e,4.0,15.0,6078364037.5,0.012796208530805764,0.016587677725118377,2.8137904204222584,21.37,2026-05-12,0.008890968647636832,-0.02573701450631727,-0.030416471689284186,-0.0009358914365933391,False,0.09989373007438895,-0.0005313496280553442,,,1.21154514875936,1.1955509669145032,1.6089230562223351,0.11051502145922742,False,True,0.017933390264731175,17.195,,,,,,,,,,,,,,
2026-05-11,605598,59.98,62.5,57.75,59.5,12412429.0,,3.89628635253298,2026-05-07,2026-05-08,7.248450756072998,100e_300e,3.0,10.0,14260226352.12,0.013974096796182778,0.0650988411724609,2.4988766729147023,59.5,2026-05-12,0.04201680672268915,-0.02857142857142858,-0.037142857142857144,0.04201680672268915,True,0.10006088897909482,0.0030444489547392095,,,1.227708778794335,1.1048035321870786,1.1613513600118883,0.09983766233766245,False,True,0.017933390264731175,17.195,,,,,,,,,,,,,,
2026-05-11,603950,68.5,70.86,65.11,70.05,16459950.0,,3.697420161285769,2026-05-07,2026-05-08,5.570802688598633,100e_300e,3.0,10.0,22167065800.0,0.02262773722627731,0.034452554744525576,1.434646438658038,70.05,2026-05-12,0.10007137758743756,0.08493932905067814,-0.011134903640256932,0.0,True,0.09999999999999987,0.005344827586206913,,,1.322522801021231,1.1826084450655998,0.9801833868328244,0.11890564714135388,False,True,0.017933390264731175,17.195,,,,,,,,,,,,,,
