min_score,topk,sell_n,trailing_stop,take_profit,cooldown_after_stop,initial_cash,final_value,total_return,annual_return,sharpe_ratio,max_drawdown,num_trades,win_rate,num_sells,sell_avg_return,sell_median_return
0.7,3,2,0.04,0.08,5,10000000.0,9518444.950667134,-0.048155504933286686,-0.050914847913885675,-0.14316353042334926,-0.15055256781739346,160,0.425,80,-0.0009011610556200839,-0.009972629383330323
0.68,2,5,0.03,0.08,5,10000000.0,7733198.66084002,-0.22668013391599806,-0.23828578704398218,-0.1635715755572815,-0.49160726522876586,516,0.42412451361867703,257,-0.0006058653423286767,-0.016396189582512988
0.58,2,5,0.03,0.0,5,10000000.0,6540791.0609570015,-0.3459208939042998,-0.36205241402367816,-0.18962499184421563,-0.6580713810024716,604,0.3554817275747508,301,-0.0015115449844462596,-0.021717716871923698
0.6,2,5,0.03,0.0,5,10000000.0,6540791.0609570015,-0.3459208939042998,-0.36205241402367816,-0.18962499184421563,-0.6580713810024716,604,0.3554817275747508,301,-0.0015115449844462596,-0.021717716871923698
0.62,2,5,0.03,0.0,5,10000000.0,6540791.0609570015,-0.3459208939042998,-0.36205241402367816,-0.18962499184421563,-0.6580713810024716,604,0.3554817275747508,301,-0.0015115449844462596,-0.021717716871923698
0.65,3,2,0.03,0.08,5,10000000.0,7223736.972754498,-0.27762630272455024,-0.2913140836234335,-0.19699138650069511,-0.5042592833250807,1081,0.4489795918367347,539,-0.0006924652240482932,-0.009418159703002082
0.7,3,3,0.03,0.08,5,10000000.0,9376337.266616076,-0.0623662733383924,-0.06591130528451061,-0.20126897049598444,-0.17670825037567905,156,0.4230769230769231,78,-0.0015416773110942235,-0.009972629383330323
0.7,3,3,0.03,0.0,5,10000000.0,9156984.812355094,-0.08430151876449066,-0.08903300894436272,-0.21384499935240067,-0.18173901616283883,146,0.3698630136986301,73,-0.002187597265822813,-0.01804021896574437
0.65,2,5,0.04,0.0,5,10000000.0,6531426.734700895,-0.3468573265299105,-0.363019436450315,-0.22418029043372936,-0.5788030554174016,504,0.3466135458167331,251,-0.001895564221460896,-0.02778343477560208
0.65,2,2,0.03,0.08,5,10000000.0,6535417.779814852,-0.3464582220185147,-0.36260730463170354,-0.2305891352864332,-0.5727450533717833,730,0.42857142857142855,364,-0.0010888850259262856,-0.01049185572098238
0.58,2,3,0.03,0.0,5,10000000.0,6235692.912703494,-0.3764307087296507,-0.393516325724778,-0.23252185125177882,-0.656087084966989,634,0.36075949367088606,316,-0.0017470881637914604,-0.02050999363851219
0.6,2,3,0.03,0.0,5,10000000.0,6235692.912703494,-0.3764307087296507,-0.393516325724778,-0.23252185125177882,-0.656087084966989,634,0.36075949367088606,316,-0.0017470881637914604,-0.02050999363851219
0.62,2,3,0.03,0.0,5,10000000.0,6235692.912703494,-0.3764307087296507,-0.393516325724778,-0.23252185125177882,-0.656087084966989,634,0.36075949367088606,316,-0.0017470881637914604,-0.02050999363851219
0.58,2,2,0.04,0.0,5,10000000.0,6166639.137219831,-0.38333608627801685,-0.4006252426392538,-0.23310868458063588,-0.707077656864332,638,0.39622641509433965,318,-0.001945888865557903,-0.016677725134398358
0.6,2,2,0.04,0.0,5,10000000.0,6166639.137219831,-0.38333608627801685,-0.4006252426392538,-0.23310868458063588,-0.707077656864332,638,0.39622641509433965,318,-0.001945888865557903,-0.016677725134398358
0.62,2,2,0.04,0.0,5,10000000.0,6166639.137219831,-0.38333608627801685,-0.4006252426392538,-0.23310868458063588,-0.707077656864332,638,0.39622641509433965,318,-0.001945888865557903,-0.016677725134398358
0.65,2,2,0.04,0.08,5,10000000.0,6396696.6920657465,-0.36033033079342536,-0.37692347169753926,-0.2446812794233592,-0.5854325362210636,682,0.43823529411764706,340,-0.0012981261494471763,-0.009832555065500292
0.68,1,3,0.04,0.0,5,10000000.0,5696294.617266215,-0.43037053827337846,-0.4489188853142474,-0.2485906510867298,-0.49210774765978427,237,0.3898305084745763,118,-0.0016802425368320595,-0.022509591649309102
